word,frequency
,599
Bridget,123
kd,105
COM,104
Copy,104
Kitesvn,104
Uchiha,97
Ark,92
Jonas,92
Weed,88
Sở,86
Copyright,79
Raoul,76
Trâm,70
Tsubaki,70
Doãn,68
Lưu,67
Rensullot,66
Sarin,65
Tsunade,59
Eliza,59
Thera,57
không,56
Phiên,56
nhền,55
Burlando,54
Hàm,52
Hook,52
Senpai,51
nàng,50
Abbie,50
Sắt,48
Aserius,48
Hayasaya,48
có,46
f,46
Phư,46
b,44
d,42
Ericter,41
Liên,40
Heleba,40
Tần,39
Gerrard,38
Senju,38
DocTruyen,38
Thươ,37
rựu,37
Khiêm,37
Bunny,37
Man,36
Mandy,36
Liu,36
LJ,36
Cung,35
Hạo,35
Knight,35
Clarence,35
Shogula,35
Dươna,35
là,34
Tòng,34
Geomchi,34
TriệuVăn,34
Crea,34
Rhyme,34
Diêu,33
Ứng,33
Bùi,33
Trĩ,33
Kerji,33
một,32
Lạc,32
Nghị,32
Hiêu,32
Dagian,32
Nhã,31
Xá,31
Viola,31
Jeff,31
Lé,31
Boone,31
Drebber,31
Odin,31
Amaterasu,31
Sosna,31
lại,30
t,30
Dận,30
Haven,30
Ive,30
Rinto,30
Augustine,30
khôna,30
Rance,30
aiơ,30
này,29
cô,29
Tinh,29
Điệp,29
Xán,29
Sầm,29
Yellowy,29
Garvin,29
Quint,29
yumi,29
Penang,29
nói,28
trong,28
Tả,28
Miểu,28
William,28
you,28
Draco,28
Rafi,28
Cole,28
wendy,28
Maylon,28
Laura,28
Shannon,28
Belinda,28
Cater,28
mắt,27
ở,27
Nhiếp,27
Janice,27
Nelson,27
Strauss,27
Momiji,27
Koinu,27
Andrei,27
như,26
hắn,26
Liệt,26
gián,26
Trác,26
Đạc,26
Nị,26
Shirou,26
Andel,26
Nolan,26
Itachi,26
Rende,26
Hwaryeong,26
Cui,26
Azure,26
Lukas,26
của,25
lên,25
Diễm,25
Oskar,25
Diên,25
Randy,25
Emiya,25
Diê,25
Joesph,25
Orc,25
Makishima,25
Feiya,25
Vigor,25
Chểnh,25
Yule,25
giớii,25
Baudelaire,25
Rukawa,25
ra,24
cái,24
Lam,24
Ti,24
Hòa,24
Phái,24
Allen,24
Tỏi,24
Embinyu,24
Irina,24
Gassiev,24
Yue,24
Shere,24
ESE,24
Travis,24
Ðới,24
mặt,23
Quan,23
Thượng,23
Atula,23
Phan,23
Bulma,23
Alar,23
Sanger,23
Kondou,23
tay,22
Đạo,22
Miều,22
Hác,22
Noah,22
grant,22
Ivanov,22
Ngói,22
Tori,22
Denchiuko,22
Kasha,22
người,21
Hắc,21
Pháp,21
Mã,21
Ky,21
Vịnh,21
Niếp,21
Brad,21
Sanneibo,21
Hến,21
Sachs,21
Lenka,21
Kelly,21
Kazuto,21
Sebastian,21
Alexia,21
Loki,21
Griffin,21
Kirito,21
Suh,21
Rina,21
Zach,21
Warnock,21
Nhok,21
nhìn,20
Lan,20
Phi,20
trà,20
Cẩn,20
Hoắc,20
Đoa,20
Sâm,20
Taylor,20
Morgan,20
Shindo,20
Trezeguet,20
Iji,20
Kurahashi,20
Sander,20
Nasser,20
Nhuâ,20
Marta,20
Alucard,20
Ðặng,20
lạnh,19
hư,19
Nhược,19
tôi,19
Trân,19
Eun,19
Delia,19
Irivy,19
Chơn,19
Kreacher,19
Minamiya,19
Cain,19
CốcVũ,19
Humphrey,19
Sodom,19
Sasa,19
Khiệm,19
Hawken,19
Steban,19
Arcueid,19
dn,19
Teleting,19
cũng,18
Uyên,18
Mộc,18
Đạm,18
Ngữ,18
Giam,18
Angius,18
Quai,18
map,18
like,18
Luna,18
Asa,18
Blizzard,18
Hakim,18
Tristar,18
